GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,3,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,2,361,3,5,0,97,3,22,0,21
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,5,155,1,11,0,31,2,12,1,7
tourguide,com.openclassrooms.tourguide.user,UserPreferences,26,27,0,0,1,6,7,4,7,4
tourguide,com.openclassrooms.tourguide.user,User,51,78,3,1,5,20,14,10,12,10
tourguide,com.openclassrooms.tourguide.user,UserReward,13,21,0,0,4,5,4,2,4,2
tourguide,com.openclassrooms.tourguide.tracker,Tracker,5,85,0,4,3,27,0,7,0,5
tourguide,com.openclassrooms.tourguide,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide.dto,NearAttractionDto,49,28,0,0,8,1,14,2,14,2
tourguide,com.openclassrooms.tourguide.dto,NearAttractionsListDto.NearAttractionsListDtoBuilder,5,14,0,0,0,1,1,3,1,3
tourguide,com.openclassrooms.tourguide.dto,NearAttractionDto.NearAttractionDtoBuilder,16,56,0,0,0,1,1,9,1,9
tourguide,com.openclassrooms.tourguide.dto,NearAttractionsListDto,7,13,0,0,2,3,2,3,2,3
tourguide,com.openclassrooms.tourguide.controller,TourGuideController,22,6,0,0,5,1,5,1,5,1
